speed_kmh,vehicle_mileage_kmpl,acceleration_mps2,braking_mps2,distance_km,traffic_level_heavy,traffic_level_low,traffic_level_moderate,ac_usage_high,ac_usage_low,ac_usage_moderate,vehicle_load_heavy,vehicle_load_light,vehicle_load_normal,road_type_city,road_type_highway,road_type_mixed
109.65,18.96,2.52,1.44,30.03,1,0,0,0,0,1,1,0,0,0,1,0
29.58,18.88,2.32,3.29,8.8,1,0,0,0,0,1,0,0,1,1,0,0
94.58,20.16,2.31,0.18,106.64,0,1,0,1,0,0,0,1,0,0,1,0
28.87,18.37,2.9,1.1,49.24,0,0,1,1,0,0,0,1,0,0,1,0
114.2,18.4,1.11,0.53,262.65,0,1,0,1,0,0,0,1,0,0,1,0
36.56,16.6,0.69,0.88,36.68,0,1,0,1,0,0,0,0,1,1,0,0
76.31,16.76,1.69,3.03,244.24,1,0,0,0,1,0,0,0,1,0,0,1
76.45,15.68,2.83,3.21,89.3,0,1,0,0,1,0,1,0,0,1,0,0
97.95,21.52,2.83,3.79,38.52,1,0,0,0,1,0,0,0,1,0,1,0
59.73,12.93,0.58,0.72,273.85,0,0,1,0,1,0,0,1,0,0,0,1
45.54,13.07,1.89,3.07,135.26,0,0,1,0,1,0,1,0,0,0,0,1
72.27,12.17,3.64,2.74,248.82,1,0,0,0,1,0,0,1,0,1,0,0
57.21,16.93,2.29,2.79,11.15,0,0,1,0,1,0,1,0,0,0,0,1
76.75,14.14,1.29,0.93,24.54,0,0,1,1,0,0,0,1,0,0,0,1
22.86,16.01,2.05,3.69,266.55,1,0,0,1,0,0,0,1,0,0,0,1
60.66,12.98,2.46,3.62,83.74,0,1,0,0,1,0,0,0,1,1,0,0
56.46,21.79,3.04,0.36,275.18,0,1,0,1,0,0,1,0,0,0,0,1
48.18,15.7,3.79,1.71,136.22,0,1,0,0,0,1,0,0,1,0,1,0
117.79,21.65,0.63,2.61,264.79,0,0,1,0,0,1,1,0,0,0,1,0
73.7,18.82,1.07,2.56,37.91,0,0,1,0,1,0,0,0,1,0,1,0
42.27,20.35,3.06,2.15,198.89,0,1,0,0,0,1,0,0,1,0,0,1
95.02,14.0,0.64,1.15,78.92,0,1,0,1,0,0,0,0,1,0,1,0
74.37,20.58,0.3,2.16,29.65,1,0,0,1,0,0,0,1,0,1,0,0
73.27,13.33,2.3,1.08,120.46,0,1,0,0,1,0,1,0,0,0,0,1
99.27,15.51,0.65,0.92,167.9,0,1,0,0,1,0,1,0,0,0,1,0
22.96,13.79,0.72,1.65,288.52,1,0,0,1,0,0,0,1,0,0,1,0
97.72,19.28,0.08,1.99,197.6,0,1,0,0,1,0,1,0,0,1,0,0
20.16,17.01,2.4,1.59,27.79,0,1,0,0,1,0,0,0,1,0,1,0
60.25,19.76,0.67,2.48,147.61,1,0,0,1,0,0,1,0,0,0,1,0
100.0,17.17,2.45,2.78,85.2,1,0,0,1,0,0,1,0,0,1,0,0
74.06,20.92,0.2,0.12,271.47,0,1,0,0,1,0,0,0,1,0,1,0
84.36,14.56,0.27,1.39,101.51,1,0,0,0,1,0,1,0,0,1,0,0
92.44,16.48,1.82,1.56,44.31,1,0,0,0,0,1,0,0,1,1,0,0
62.56,16.45,0.59,0.89,37.84,0,1,0,0,0,1,0,1,0,0,1,0
79.2,18.43,3.69,0.03,279.2,0,0,1,0,1,0,1,0,0,0,0,1
20.89,19.89,0.17,3.13,145.2,1,0,0,0,1,0,0,0,1,0,1,0
44.23,18.08,1.19,0.18,205.46,1,0,0,0,1,0,1,0,0,0,1,0
93.02,15.08,3.84,1.16,58.31,0,1,0,0,1,0,0,1,0,0,0,1
88.13,18.09,2.1,0.94,89.83,0,0,1,0,1,0,0,1,0,0,0,1
60.28,20.42,3.58,3.67,16.54,1,0,0,0,1,0,0,1,0,1,0,0
84.15,21.43,3.01,0.24,39.27,0,0,1,0,1,0,1,0,0,0,1,0
111.02,15.87,0.95,1.96,78.76,1,0,0,0,0,1,0,0,1,0,1,0
66.25,13.24,3.04,2.89,50.05,0,1,0,0,1,0,0,1,0,1,0,0
46.75,20.47,3.06,1.56,51.52,0,1,0,1,0,0,1,0,0,0,1,0
76.25,13.61,3.41,0.14,294.08,1,0,0,0,0,1,0,0,1,0,0,1
33.73,19.24,3.0,0.05,34.42,0,0,1,0,1,0,0,1,0,0,1,0
46.25,15.27,0.41,3.72,225.16,1,0,0,0,1,0,1,0,0,0,1,0
67.48,20.67,3.53,1.91,28.29,1,0,0,0,1,0,1,0,0,0,0,1
88.53,13.5,1.2,1.74,99.0,0,1,0,1,0,0,0,1,0,1,0,0
97.3,19.56,1.15,1.05,7.24,0,0,1,1,0,0,1,0,0,0,1,0
101.51,16.36,0.62,1.89,14.03,0,0,1,0,1,0,0,0,1,0,1,0
46.98,15.6,0.53,0.75,137.41,1,0,0,1,0,0,0,0,1,0,1,0
67.28,20.11,2.1,0.02,154.83,1,0,0,0,0,1,0,1,0,0,1,0
44.63,13.15,2.67,3.3,283.98,0,0,1,0,1,0,0,0,1,1,0,0
108.08,15.35,2.4,0.72,206.47,1,0,0,1,0,0,0,1,0,0,1,0
67.1,20.17,3.17,3.62,166.66,0,1,0,0,1,0,1,0,0,0,1,0
114.4,13.38,3.69,1.53,167.06,1,0,0,1,0,0,0,0,1,0,0,1
21.1,12.81,2.99,3.24,279.48,0,1,0,0,0,1,0,1,0,0,0,1
62.53,14.54,2.78,2.14,25.81,1,0,0,0,0,1,1,0,0,0,0,1
47.01,17.38,0.34,0.85,241.25,0,1,0,0,1,0,1,0,0,0,1,0
35.33,12.4,1.49,3.96,94.46,0,0,1,0,1,0,0,1,0,0,1,0
35.76,15.41,3.3,0.72,227.42,0,0,1,1,0,0,1,0,0,0,0,1
118.66,18.13,1.3,2.8,69.6,1,0,0,0,1,0,0,1,0,1,0,0
57.67,17.7,1.51,2.35,269.98,0,1,0,1,0,0,0,0,1,1,0,0
119.28,16.49,3.47,0.68,249.96,1,0,0,0,1,0,1,0,0,0,1,0
47.05,20.75,0.76,2.82,23.52,1,0,0,0,1,0,0,0,1,1,0,0
112.88,15.83,3.43,0.57,203.29,0,0,1,0,1,0,0,0,1,1,0,0
50.71,19.44,3.15,1.33,81.86,0,0,1,0,0,1,0,1,0,1,0,0
88.24,21.99,1.1,3.61,259.16,1,0,0,0,0,1,0,0,1,1,0,0
56.67,19.01,3.87,2.89,252.7,0,1,0,1,0,0,1,0,0,0,0,1
57.72,18.53,0.83,1.91,24.94,1,0,0,0,1,0,0,0,1,0,1,0
25.25,17.58,3.37,0.9,17.51,0,1,0,0,1,0,0,1,0,0,1,0
84.15,18.6,3.61,0.23,191.32,1,0,0,1,0,0,1,0,0,1,0,0
67.04,18.92,1.29,3.11,184.45,0,0,1,1,0,0,0,1,0,0,0,1
76.72,13.7,0.06,2.1,233.14,0,0,1,1,0,0,0,0,1,0,1,0
74.06,19.31,2.94,0.89,295.02,0,0,1,1,0,0,0,1,0,0,1,0
119.72,21.28,2.53,1.96,144.67,1,0,0,1,0,0,0,1,0,0,1,0
83.61,16.3,3.68,3.05,178.26,1,0,0,0,0,1,0,1,0,1,0,0
81.65,17.65,3.85,1.77,37.42,1,0,0,1,0,0,1,0,0,1,0,0
91.76,19.2,2.58,2.22,295.6,0,0,1,0,0,1,1,0,0,0,1,0
96.3,14.46,2.15,0.71,52.3,0,0,1,0,1,0,0,1,0,0,0,1
38.21,21.03,1.15,0.06,218.22,1,0,0,0,0,1,0,0,1,1,0,0
119.01,20.39,2.74,2.49,155.03,0,1,0,0,0,1,0,1,0,0,0,1
117.79,13.42,2.79,2.6,138.86,0,1,0,0,1,0,0,0,1,0,1,0
48.98,14.22,1.58,0.53,29.35,1,0,0,1,0,0,0,1,0,0,0,1
57.57,13.44,1.51,1.28,244.22,1,0,0,1,0,0,0,0,1,0,1,0
29.75,12.62,2.18,3.93,62.28,1,0,0,1,0,0,0,1,0,1,0,0
60.49,18.87,0.6,0.29,197.13,0,1,0,0,1,0,1,0,0,0,1,0
119.22,13.59,2.71,2.64,9.38,0,0,1,1,0,0,0,0,1,0,1,0
113.23,21.04,3.28,2.28,16.99,0,0,1,0,0,1,0,1,0,0,1,0
50.11,16.34,0.99,2.1,19.41,0,0,1,1,0,0,0,1,0,0,1,0
36.57,19.57,1.68,1.92,278.79,0,1,0,0,1,0,0,0,1,0,1,0
77.27,14.45,3.05,1.04,161.65,0,0,1,1,0,0,0,1,0,0,1,0
54.68,19.35,0.7,1.61,142.91,0,0,1,0,0,1,0,1,0,0,0,1
98.88,17.88,2.57,0.19,256.08,1,0,0,0,1,0,0,0,1,1,0,0
46.02,21.77,1.77,1.17,130.63,0,1,0,0,0,1,1,0,0,1,0,0
49.93,20.79,2.86,0.83,25.56,0,0,1,1,0,0,1,0,0,1,0,0
93.48,19.51,3.46,1.6,156.86,1,0,0,0,0,1,0,0,1,0,0,1
77.57,14.29,0.0,2.79,280.72,0,0,1,1,0,0,1,0,0,0,1,0
45.23,18.86,1.35,1.18,246.65,1,0,0,0,0,1,0,1,0,1,0,0
106.5,19.74,1.7,0.42,163.64,1,0,0,1,0,0,0,0,1,0,0,1
94.97,14.64,0.16,0.97,269.43,0,1,0,1,0,0,0,0,1,0,1,0
33.41,17.57,0.97,0.81,195.78,0,0,1,0,0,1,0,1,0,0,0,1
70.17,21.71,0.95,3.27,190.34,1,0,0,0,0,1,1,0,0,0,0,1
40.08,16.16,3.15,3.51,112.93,1,0,0,0,0,1,0,1,0,1,0,0
97.41,14.6,1.39,0.39,34.72,0,1,0,0,1,0,0,1,0,0,1,0
41.57,12.19,0.6,3.76,184.62,0,0,1,0,1,0,0,0,1,0,1,0
43.69,19.76,3.24,2.35,108.44,1,0,0,1,0,0,1,0,0,1,0,0
42.98,21.19,3.61,2.77,172.2,0,0,1,0,1,0,0,1,0,0,0,1
44.44,18.57,3.23,0.29,282.91,0,1,0,1,0,0,1,0,0,0,1,0
43.38,15.71,3.27,3.73,211.1,0,1,0,1,0,0,0,1,0,0,1,0
29.46,12.84,2.91,2.53,132.17,0,0,1,0,0,1,0,0,1,0,0,1
31.3,19.0,2.18,1.9,77.67,0,0,1,0,1,0,0,0,1,1,0,0
70.87,17.52,0.68,2.39,16.72,1,0,0,1,0,0,0,1,0,0,1,0
35.43,18.57,3.66,2.41,285.65,1,0,0,0,1,0,0,1,0,1,0,0
28.31,21.83,0.4,3.22,76.61,0,0,1,0,1,0,1,0,0,1,0,0
55.75,13.68,0.16,3.24,272.23,0,0,1,0,0,1,0,1,0,0,1,0
24.03,13.9,1.58,2.98,270.79,0,1,0,1,0,0,0,1,0,1,0,0
20.2,18.46,1.91,3.61,203.45,0,0,1,1,0,0,1,0,0,0,0,1
115.52,15.24,1.39,2.47,124.11,0,1,0,0,1,0,1,0,0,0,1,0
115.03,17.4,0.08,1.52,235.23,0,0,1,0,0,1,1,0,0,0,1,0
70.9,15.11,2.5,0.16,13.69,0,1,0,0,0,1,0,1,0,0,1,0
113.95,12.01,3.1,0.46,21.05,1,0,0,0,1,0,0,0,1,0,0,1
79.94,21.58,2.25,0.07,217.27,1,0,0,0,0,1,0,1,0,0,1,0
44.19,16.44,0.71,1.85,194.21,1,0,0,0,0,1,0,1,0,0,1,0
86.85,14.46,3.53,1.69,173.31,1,0,0,0,0,1,0,1,0,0,0,1
43.92,14.34,3.86,3.14,271.67,0,1,0,0,0,1,1,0,0,0,0,1
42.94,18.24,3.39,3.52,8.49,1,0,0,1,0,0,1,0,0,0,1,0
84.7,20.36,0.08,0.93,27.09,1,0,0,0,1,0,1,0,0,0,1,0
26.29,14.92,3.49,0.93,284.5,1,0,0,0,0,1,0,0,1,0,0,1
111.47,18.3,0.13,3.94,185.33,0,1,0,1,0,0,0,1,0,1,0,0
81.18,14.65,0.1,1.81,97.16,0,1,0,0,0,1,0,1,0,0,1,0
39.05,19.25,1.07,2.69,182.86,0,1,0,0,1,0,1,0,0,0,0,1
35.7,15.12,2.76,3.51,174.4,1,0,0,0,1,0,0,1,0,0,0,1
107.73,18.04,3.8,2.12,122.5,0,1,0,0,1,0,0,0,1,1,0,0
99.82,19.62,1.36,0.55,155.05,0,0,1,0,1,0,0,0,1,1,0,0
83.12,12.68,3.68,3.99,225.3,0,0,1,0,1,0,1,0,0,0,0,1
87.41,20.94,0.46,2.96,5.76,0,1,0,0,1,0,0,1,0,1,0,0
58.47,20.79,3.54,3.29,38.16,0,1,0,0,1,0,0,1,0,0,1,0
88.09,21.79,3.79,2.7,223.8,0,1,0,1,0,0,0,0,1,1,0,0
24.08,21.27,1.43,2.84,148.13,0,0,1,0,1,0,1,0,0,0,1,0
26.8,19.72,3.14,2.85,97.62,0,0,1,0,0,1,1,0,0,0,1,0
110.52,21.01,3.91,2.29,55.03,0,0,1,0,1,0,0,1,0,1,0,0
62.11,21.42,1.67,2.93,135.95,0,0,1,0,0,1,0,0,1,1,0,0
118.11,17.96,1.47,1.41,246.3,1,0,0,0,0,1,0,1,0,1,0,0
87.25,20.43,1.14,0.03,36.71,0,1,0,0,0,1,1,0,0,1,0,0
84.33,12.38,1.27,2.1,122.59,0,1,0,1,0,0,1,0,0,0,1,0
103.09,17.48,0.61,3.4,299.76,0,1,0,1,0,0,1,0,0,0,1,0
60.42,21.69,2.24,3.75,125.31,1,0,0,0,1,0,1,0,0,1,0,0
89.4,18.12,3.99,0.8,45.04,0,1,0,0,0,1,0,1,0,0,0,1
63.22,20.39,3.0,1.22,296.45,0,0,1,0,1,0,1,0,0,0,0,1
29.03,16.9,0.93,0.88,160.3,0,1,0,0,0,1,1,0,0,0,1,0
118.4,14.98,1.97,2.56,273.59,0,0,1,1,0,0,0,1,0,0,1,0
100.68,19.76,3.62,3.09,17.94,0,1,0,0,1,0,0,0,1,0,0,1
83.14,21.16,3.52,3.07,124.86,0,1,0,0,0,1,0,1,0,1,0,0
49.64,16.96,2.2,0.75,169.33,1,0,0,1,0,0,0,1,0,1,0,0
83.8,19.9,2.45,0.68,291.19,0,1,0,0,1,0,0,0,1,0,0,1
100.29,21.47,3.83,3.5,244.88,1,0,0,0,0,1,1,0,0,1,0,0
49.89,17.41,2.64,0.71,204.29,1,0,0,1,0,0,0,1,0,0,0,1
26.49,18.64,2.03,3.01,195.3,1,0,0,0,0,1,0,0,1,0,0,1
74.82,21.0,3.06,1.63,194.98,0,1,0,0,0,1,0,1,0,1,0,0
32.03,15.23,2.99,0.47,187.04,0,0,1,0,0,1,0,0,1,1,0,0
119.23,18.23,2.78,2.67,116.1,1,0,0,1,0,0,0,1,0,1,0,0
56.79,13.37,2.87,3.95,83.38,0,0,1,0,1,0,0,0,1,0,1,0
112.71,12.91,0.15,3.55,238.14,1,0,0,0,1,0,0,0,1,0,0,1
32.23,14.38,3.23,1.32,177.38,0,0,1,1,0,0,1,0,0,0,1,0
60.32,12.38,1.85,3.1,291.2,0,0,1,0,0,1,1,0,0,0,1,0
20.34,20.77,2.55,3.25,125.71,1,0,0,0,1,0,1,0,0,1,0,0
104.9,13.34,0.51,2.72,293.76,0,0,1,1,0,0,1,0,0,0,0,1
103.87,19.36,3.58,3.29,119.58,0,1,0,0,0,1,0,1,0,0,1,0
91.42,16.75,2.62,0.24,254.8,1,0,0,0,0,1,0,1,0,0,1,0
113.53,19.25,3.62,3.47,73.41,0,1,0,1,0,0,0,1,0,1,0,0
93.67,15.27,1.55,1.61,283.99,0,0,1,1,0,0,0,0,1,0,0,1
88.43,21.02,0.02,0.01,22.23,0,0,1,1,0,0,0,1,0,0,1,0
85.93,21.13,0.06,2.13,126.34,0,1,0,1,0,0,1,0,0,1,0,0
81.45,13.69,1.3,0.11,22.26,0,0,1,0,1,0,0,0,1,0,1,0
61.73,15.91,3.98,1.24,17.12,1,0,0,1,0,0,0,0,1,0,0,1
94.69,16.56,3.02,0.48,229.19,0,0,1,0,1,0,0,0,1,0,1,0
59.87,13.68,1.21,2.98,226.97,1,0,0,0,1,0,0,0,1,0,0,1
53.57,19.29,0.05,0.84,209.49,0,0,1,0,0,1,0,1,0,0,0,1
26.26,20.09,0.41,3.49,60.15,0,0,1,0,1,0,0,0,1,0,1,0
68.96,21.52,1.05,1.55,255.79,0,0,1,0,1,0,1,0,0,1,0,0
94.92,12.46,3.54,3.03,265.81,0,1,0,0,0,1,1,0,0,0,0,1
40.81,18.26,0.21,0.45,49.02,0,0,1,0,0,1,0,1,0,0,1,0
71.63,12.89,2.89,0.86,133.12,0,0,1,1,0,0,1,0,0,0,1,0
90.78,21.8,1.09,2.65,99.88,0,1,0,0,0,1,1,0,0,1,0,0
36.16,20.67,3.73,2.22,198.29,0,0,1,0,1,0,0,1,0,0,1,0
43.21,21.91,3.91,0.52,201.13,0,1,0,0,0,1,0,0,1,0,1,0
107.26,12.95,3.77,0.66,142.84,1,0,0,1,0,0,0,0,1,1,0,0
70.1,17.56,0.71,3.93,102.81,0,1,0,0,0,1,1,0,0,0,0,1
93.09,18.46,1.98,2.12,110.1,0,1,0,0,1,0,0,1,0,0,1,0
91.32,18.87,2.63,0.57,172.43,0,0,1,0,1,0,1,0,0,0,0,1
68.72,19.26,1.32,0.51,198.36,0,1,0,0,0,1,1,0,0,0,1,0
34.21,18.9,2.93,3.93,295.18,0,0,1,0,0,1,1,0,0,0,1,0
90.41,13.22,0.8,2.98,28.94,0,1,0,1,0,0,0,1,0,0,1,0
113.42,14.51,1.57,2.37,62.85,0,0,1,1,0,0,0,0,1,0,1,0
107.76,20.95,0.54,1.09,297.06,1,0,0,0,0,1,0,1,0,0,1,0
58.29,18.45,2.3,3.41,183.41,1,0,0,1,0,0,1,0,0,1,0,0
